Assemblage_Name	3612469-4-0	1-9917792-3	4-7121248-4130772	1-2-1862753	3383144-7121248-3624132	4354244-2-3	1586621-2-3	4-7121248-3624132	1-2-7063353	7125916-7121248-3624132	4-7121248-4634235	4929451-7121248-3624132	7587474-9447352-3	4804733-2-3	3-1-4	9527511-7121248-3624132	1-2-8246538	1-4716228-3	1-6920418-3	4386512-2-3	1-3277181-1862753	1-2184538-1862753	1-1683227-3	4-1-3624132	1-1857450-3	5947481-2-3	1-2754858-1862753	4-7121248-7926316	1-6055490-3	4-7648477-3624132	9880719-8457693-4	1-2-1172892	1-8457693-4	1-2-3	1-2-4	1-9447352-3	4-7121248-8925099	1-4-4	3904273-2-3	4-1411017-3624132	4-9142428-3624132	1-5184650-1862753	4-7121248-2305452	4-7121248-3493997	4-3976132-3624132	3209685-2-3	4820574-1-3624132	4-6904276-3624132
assemblage-451-195	0	0	0	0	0	0	0	188	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	272	0	13	0	0	0	0	0	0	0	0	0	0	0	15
assemblage-275-260	0	0	0	0	0	0	0	130	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	65	0	0	0	0	0	0	0	0	0	21	0	0	0	274	0	0	6	0	0	0	0	0	0	4
assemblage-261-263	0	0	0	0	0	0	0	142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	0	0	0	0	0	0	0	0	0	25	0	0	0	262	0	0	0	0	0	0	0	0	0	11
assemblage-837-802	10	0	0	0	0	0	0	128	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	13	190	0	7	0	95	0	0	0	0	0	0	26	0	0	14
assemblage-863-789	44	0	0	0	0	0	0	78	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	86	0	0	0	0	0	0	0	0	0	165	0	82	0	42	0	0	0	0	0	0	0	0	0	3
assemblage-832-957	0	0	0	0	0	0	0	70	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	387	0	0	0	13	0	0	0	0	0	0	0	0	0	8
assemblage-955-304	61	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	353	23	0	0	38	0	0	0	0	0	0	0	0	0	6
assemblage-527-662	36	0	0	0	0	0	0	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	134	0	0	0	253	0	0	0	0	0	0	0	0	20	10
assemblage-262-886	0	0	0	27	0	0	0	189	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	0	0	28	162	0	6	0	33	0	0	0	0	0	0	0	0	0	7
assemblage-430-192	0	0	0	0	0	0	0	182	57	0	0	0	0	0	0	0	0	0	0	0	0	18	38	0	0	0	0	0	0	0	0	0	6	184	0	0	0	0	0	0	0	0	0	0	0	0	0	15
assemblage-825-957	0	0	0	0	0	0	0	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	386	0	0	0	12	0	0	0	0	0	0	0	0	0	6
assemblage-363-861	0	0	0	16	0	0	0	207	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	255	0	0	0	0	0	0	0	0	0	0	0	0	0	11
assemblage-162-502	0	0	0	16	0	0	0	205	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	0	256	0	0	0	0	0	0	0	0	4	0	0	0	0	3
assemblage-794-401	0	0	0	9	0	0	0	57	0	0	0	0	0	0	0	0	0	0	0	0	0	0	19	0	7	0	0	0	0	0	0	0	0	405	0	0	0	0	0	0	0	0	0	0	0	0	0	3
assemblage-111-935	0	0	0	0	0	0	0	202	0	0	0	0	0	0	114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	11	50	0	0	90	0	0	0	0	0	0	4
assemblage-435-763	0	0	0	0	0	0	0	162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	35	239	0	0	0	0	0	0	0	20	0	0	0	0	0	18
assemblage-413-864	0	0	0	0	0	0	0	184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	234	0	9	0	54	0	4	0	0	0	0	0	0	0	7
